timestamp,operating_mode,load_state,ambient_temp_degC,compressor_discharge_pressure_psig,receiver_pressure_psig,plant_header_pressure_psig,inlet_filter_dp_psid,separator_dp_psid,discharge_temp_degF,motor_current_A,package_flow_meter_scfm,hour_meter,alarm_code,operator_note
2026-05-04 06:00,load/unload,modulating,18.6,97.4,95.8,93.9,0.91,8.73,220.6,372.0,1287.4,28410,HIGH_DISCHARGE_TEMP,
2026-05-04 07:00,load/unload,modulating,21.6,99.0,97.2,95.6,0.89,8.7,225.5,377.4,1321.9,28411,HIGH_DISCHARGE_TEMP,
2026-05-04 08:00,load/unload,loaded,22.7,97.2,95.5,93.8,0.98,9.26,225.0,393.8,1374.1,28412,HIGH_DISCHARGE_TEMP,
2026-05-04 09:00,load/unload,loaded,25.1,95.9,94.0,92.4,0.93,9.22,229.1,397.2,1398.4,28413,HIGH_DISCHARGE_TEMP,
2026-05-04 10:00,load/unload,loaded,25.3,96.2,94.7,92.8,1.01,9.34,227.6,398.8,1392.6,28414,HIGH_DISCHARGE_TEMP,
2026-05-04 11:00,load/unload,loaded,26.3,96.4,94.7,92.9,0.9,9.57,232.5,388.8,1370.0,28415,HIGH_DISCHARGE_TEMP,
2026-05-04 12:00,load/unload,loaded,27.8,96.8,94.8,93.0,0.94,9.34,230.6,392.2,1365.6,28416,HIGH_DISCHARGE_TEMP,
2026-05-04 13:00,load/unload,loaded,27.7,96.9,95.2,93.3,0.93,9.1,230.3,387.4,1376.5,28417,HIGH_DISCHARGE_TEMP,
2026-05-04 14:00,load/unload,loaded,27.8,97.7,95.7,93.9,0.99,9.14,232.5,389.0,1366.6,28418,HIGH_DISCHARGE_TEMP,
2026-05-04 15:00,load/unload,loaded,26.3,96.5,94.6,93.1,0.96,9.46,230.8,393.3,1376.6,28419,HIGH_DISCHARGE_TEMP,
2026-05-04 16:00,load/unload,loaded,26.5,96.8,94.6,93.0,0.95,9.27,231.3,390.3,1408.0,28420,HIGH_DISCHARGE_TEMP,
2026-05-04 17:00,load/unload,loaded,24.2,95.6,93.3,91.7,1.04,9.65,228.8,398.1,1432.3,28421,HIGH_DISCHARGE_TEMP,
2026-05-04 18:00,load/unload,loaded,22.6,96.1,94.3,92.5,1.03,9.58,227.6,398.2,1393.6,28422,HIGH_DISCHARGE_TEMP,
2026-05-04 19:00,load/unload,modulating,21.7,99.9,97.8,96.1,0.84,8.28,223.1,365.5,1284.9,28423,HIGH_DISCHARGE_TEMP,
2026-05-04 20:00,load/unload,modulating,19.0,98.6,97.1,95.3,0.89,8.67,224.3,367.7,1286.8,28424,HIGH_DISCHARGE_TEMP,
2026-05-04 21:00,load/unload,modulating,16.7,100.0,98.3,96.6,0.92,8.73,221.4,369.7,1317.6,28425,HIGH_DISCHARGE_TEMP,
2026-05-04 22:00,load/unload,modulating,15.5,100.3,98.4,96.6,0.84,8.43,216.8,368.3,1297.7,28426,,
2026-05-04 23:00,load/unload,modulating,15.4,100.3,98.4,96.7,0.86,8.71,220.8,373.3,1295.1,28427,HIGH_DISCHARGE_TEMP,
2026-05-05 00:00,load/unload,modulating,14.7,99.5,97.5,95.7,0.92,8.83,217.1,368.6,1294.4,28428,,
2026-05-05 01:00,load/unload,modulating,13.6,98.1,96.2,94.3,0.89,8.52,214.8,377.9,1294.7,28429,,
2026-05-05 02:00,load/unload,modulating,14.9,99.1,97.5,95.7,0.86,8.64,217.3,373.5,1321.3,28430,,
2026-05-05 03:00,load/unload,modulating,14.8,98.6,96.7,94.9,0.93,8.82,217.2,371.3,1286.7,28431,,
2026-05-05 04:00,load/unload,modulating,16.7,100.3,98.3,96.6,0.81,8.75,222.0,365.5,1270.0,28432,HIGH_DISCHARGE_TEMP,
2026-05-05 05:00,load/unload,modulating,17.5,99.9,98.1,96.4,0.81,8.45,221.7,369.2,1313.0,28433,HIGH_DISCHARGE_TEMP,
2026-05-05 06:00,load/unload,modulating,18.5,98.4,96.9,95.1,0.84,8.4,222.4,369.3,1289.8,28434,HIGH_DISCHARGE_TEMP,
2026-05-05 07:00,load/unload,modulating,20.6,99.2,97.4,95.7,0.85,8.95,225.0,373.4,1326.5,28435,HIGH_DISCHARGE_TEMP,
2026-05-05 08:00,load/unload,loaded,23.0,96.2,94.3,92.7,0.99,9.37,225.5,388.9,1404.1,28436,HIGH_DISCHARGE_TEMP,
2026-05-05 09:00,load/unload,loaded,23.9,96.5,94.4,92.9,0.96,9.4,229.5,389.5,1401.7,28437,HIGH_DISCHARGE_TEMP,
2026-05-05 10:00,load/unload,loaded,26.2,95.0,93.3,91.6,0.99,9.54,229.8,395.8,1375.9,28438,HIGH_DISCHARGE_TEMP,
2026-05-05 11:00,load/unload,loaded,27.3,96.9,94.9,93.2,1.02,9.42,231.2,395.7,1392.0,28439,HIGH_DISCHARGE_TEMP,
2026-05-05 12:00,load/unload,loaded,28.1,95.7,93.6,92.0,1.02,9.39,231.3,397.1,1425.6,28440,HIGH_DISCHARGE_TEMP,
2026-05-05 13:00,load/unload,loaded,27.6,96.7,94.6,93.0,1.04,9.53,232.8,398.4,1412.5,28441,HIGH_DISCHARGE_TEMP,
2026-05-05 14:00,load/unload,loaded,28.2,94.6,92.6,90.9,0.98,9.57,232.5,395.3,1420.1,28442,HIGH_DISCHARGE_TEMP,
2026-05-05 15:00,load/unload,loaded,26.6,96.4,94.2,92.6,0.96,9.59,231.2,396.1,1377.6,28443,HIGH_DISCHARGE_TEMP,
2026-05-05 16:00,load/unload,loaded,25.7,94.3,92.5,90.9,1.02,9.63,229.5,395.6,1392.3,28444,HIGH_DISCHARGE_TEMP,
2026-05-05 17:00,load/unload,loaded,24.8,97.2,95.4,93.5,0.92,9.54,228.4,396.8,1387.7,28445,HIGH_DISCHARGE_TEMP,
2026-05-05 18:00,load/unload,loaded,22.3,96.1,94.1,92.5,0.91,9.62,226.8,390.7,1385.2,28446,HIGH_DISCHARGE_TEMP,
2026-05-05 19:00,load/unload,modulating,20.6,98.7,96.5,94.8,0.94,8.48,225.0,370.5,1290.7,28447,HIGH_DISCHARGE_TEMP,
2026-05-05 20:00,load/unload,modulating,18.7,99.4,97.8,96.0,0.82,8.42,221.6,373.1,1286.4,28448,HIGH_DISCHARGE_TEMP,
2026-05-05 21:00,load/unload,modulating,17.5,97.5,95.7,94.1,0.88,8.77,219.9,374.2,1290.3,28449,,
2026-05-05 22:00,load/unload,modulating,16.2,98.9,97.2,95.6,0.8,8.36,220.3,367.7,1272.7,28450,HIGH_DISCHARGE_TEMP,
2026-05-05 23:00,load/unload,modulating,14.6,99.5,97.3,95.7,0.9,8.75,220.2,368.6,1276.1,28451,HIGH_DISCHARGE_TEMP,
2026-05-06 00:00,load/unload,modulating,14.7,98.0,96.0,94.5,0.94,8.45,217.6,371.7,1280.0,28452,,
2026-05-06 01:00,load/unload,modulating,14.4,99.1,97.2,95.5,0.89,8.65,218.4,372.8,1306.4,28453,,
2026-05-06 02:00,load/unload,modulating,13.5,100.0,97.9,96.2,0.87,8.86,219.6,370.8,1281.9,28454,,
2026-05-06 03:00,load/unload,modulating,14.8,98.6,96.5,94.9,0.93,8.82,218.7,369.9,1265.0,28455,,
2026-05-06 04:00,load/unload,modulating,16.5,99.7,97.6,96.0,0.81,8.74,220.4,373.3,1276.6,28456,HIGH_DISCHARGE_TEMP,
2026-05-06 05:00,load/unload,modulating,18.0,98.3,96.3,94.7,0.84,8.66,222.1,373.4,1294.6,28457,HIGH_DISCHARGE_TEMP,
2026-05-06 06:00,load/unload,modulating,19.3,97.4,95.7,94.1,0.92,8.92,224.6,370.9,1317.7,28458,HIGH_DISCHARGE_TEMP,
2026-05-06 07:00,load/unload,modulating,20.7,98.1,96.2,94.6,0.82,8.76,224.2,370.7,1276.6,28459,HIGH_DISCHARGE_TEMP,
2026-05-06 08:00,load/unload,loaded,22.4,95.3,93.4,91.8,1.0,9.2,226.2,390.9,1425.0,28460,HIGH_DISCHARGE_TEMP,
2026-05-06 09:00,load/unload,loaded,24.7,95.7,94.1,92.2,0.94,9.35,227.0,390.8,1386.7,28461,HIGH_DISCHARGE_TEMP,
2026-05-06 10:00,load/unload,loaded,25.4,109.6,106.9,104.8,0.88,7.4,204.0,356.0,1478.0,28462,,stable shift record
2026-05-06 11:00,load/unload,loaded,26.5,95.7,93.7,92.0,1.03,9.24,230.0,394.7,1383.9,28463,HIGH_DISCHARGE_TEMP,
2026-05-06 12:00,load/unload,loaded,28.0,97.2,95.3,93.4,1.01,9.37,232.6,394.2,1395.3,28464,HIGH_DISCHARGE_TEMP,
2026-05-06 13:00,load/unload,loaded,27.6,96.1,93.9,92.4,1.0,9.66,232.3,398.2,1401.4,28465,HIGH_DISCHARGE_TEMP,
2026-05-06 14:00,load/unload,loaded,28.1,95.7,93.9,92.3,0.91,9.44,232.9,389.0,1399.5,28466,HIGH_DISCHARGE_TEMP,
2026-05-06 15:00,load/unload,loaded,27.8,95.7,94.0,92.3,0.97,9.39,232.2,396.9,1419.3,28467,HIGH_DISCHARGE_TEMP,
2026-05-06 16:00,load/unload,loaded,25.8,95.8,93.7,92.0,0.94,9.43,228.5,393.1,1397.3,28468,HIGH_DISCHARGE_TEMP,
2026-05-06 17:00,load/unload,loaded,24.7,95.6,93.7,92.0,0.93,9.53,228.3,394.1,1401.0,28469,HIGH_DISCHARGE_TEMP,
2026-05-06 18:00,load/unload,loaded,23.2,96.7,94.8,93.0,1.0,9.59,227.9,396.5,1415.5,28470,HIGH_DISCHARGE_TEMP,
2026-05-06 19:00,load/unload,modulating,21.0,99.8,98.0,96.1,0.83,8.51,222.6,372.7,1287.7,28471,HIGH_DISCHARGE_TEMP,
2026-05-06 20:00,load/unload,modulating,19.2,98.5,96.4,94.7,0.84,8.68,222.4,373.6,1316.8,28472,HIGH_DISCHARGE_TEMP,
2026-05-06 21:00,load/unload,modulating,17.9,98.1,96.4,94.7,0.94,8.44,221.3,372.6,1284.8,28473,HIGH_DISCHARGE_TEMP,
2026-05-06 22:00,load/unload,modulating,16.6,98.5,96.5,94.7,0.86,8.48,218.1,375.1,1299.2,28474,,
2026-05-06 23:00,load/unload,modulating,15.0,99.6,98.0,96.3,0.93,8.72,217.0,370.7,1300.7,28475,,
2026-05-07 00:00,load/unload,modulating,14.6,98.5,96.7,95.2,0.94,8.68,217.3,374.2,1330.1,28476,,
2026-05-07 01:00,load/unload,modulating,14.2,99.6,98.0,96.2,0.88,8.6,218.4,374.0,1299.1,28477,,
2026-05-07 02:00,load/unload,modulating,14.9,100.6,98.5,96.9,0.88,8.38,219.2,371.0,1285.2,28478,,
2026-05-07 03:00,load/unload,modulating,14.4,100.3,98.4,96.6,0.82,8.51,219.4,368.3,1305.0,28479,,
2026-05-07 04:00,load/unload,modulating,16.3,99.3,97.3,95.5,0.82,8.69,218.0,368.7,1281.4,28480,,
2026-05-07 05:00,load/unload,modulating,16.8,98.5,96.4,94.9,0.81,8.32,219.0,368.7,1291.1,28481,,
2026-05-07 06:00,load/unload,modulating,18.8,99.0,97.0,95.4,0.84,8.64,220.6,371.0,1265.9,28482,HIGH_DISCHARGE_TEMP,
2026-05-07 07:00,load/unload,modulating,21.1,97.8,96.2,94.3,0.86,8.9,226.1,372.7,1302.3,28483,HIGH_DISCHARGE_TEMP,
2026-05-07 08:00,load/unload,loaded,22.8,96.4,94.1,92.6,0.92,9.38,228.3,393.2,1406.1,28484,HIGH_DISCHARGE_TEMP,
2026-05-07 09:00,load/unload,loaded,25.2,94.7,92.8,91.2,0.96,9.68,232.1,400.5,1403.4,28485,HIGH_DISCHARGE_TEMP,
2026-05-07 10:00,load/unload,loaded,25.9,97.0,95.1,93.6,0.9,9.51,230.1,394.9,1388.8,28486,HIGH_DISCHARGE_TEMP,
2026-05-07 11:00,load/unload,loaded,26.7,96.9,94.9,93.2,1.0,9.46,232.7,398.9,1409.2,28487,HIGH_DISCHARGE_TEMP,
2026-05-07 12:00,load/unload,loaded,27.0,96.6,94.6,92.8,1.03,9.64,229.4,395.8,1414.6,28488,HIGH_DISCHARGE_TEMP,
2026-05-07 13:00,load/unload,loaded,27.5,94.3,92.4,90.6,1.0,9.58,231.9,395.8,1423.4,28489,HIGH_DISCHARGE_TEMP,
2026-05-07 14:00,modulation,loaded,28.3,96.0,93.9,92.1,0.94,11.36,244.3,397.9,1380.6,28490,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-07 15:00,modulation,loaded,27.0,95.2,93.3,91.8,0.99,11.43,244.1,393.1,1355.5,28491,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-07 16:00,modulation,loaded,25.5,94.9,93.3,91.5,1.01,11.82,242.4,398.7,1378.6,28492,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-07 17:00,modulation,loaded,23.9,95.8,93.7,92.0,0.93,11.49,239.6,396.7,1400.6,28493,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-07 18:00,modulation,loaded,22.2,95.2,93.5,91.8,0.97,11.33,237.8,394.5,1359.7,28494,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-07 19:00,modulation,modulating,21.4,100.2,98.0,96.4,0.83,10.54,237.0,371.7,1271.5,28495,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-07 20:00,modulation,modulating,18.6,99.0,96.8,95.3,0.91,10.52,233.7,375.2,1232.0,28496,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-07 21:00,modulation,modulating,17.9,97.5,95.5,94.0,0.88,10.74,235.7,377.6,1261.0,28497,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-07 22:00,modulation,modulating,16.2,100.2,98.5,96.6,0.92,10.86,231.4,368.8,1222.4,28498,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-07 23:00,modulation,modulating,14.4,99.2,97.3,95.4,0.88,10.68,229.2,377.9,1251.6,28499,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 00:00,modulation,modulating,14.7,98.8,97.0,95.3,0.89,10.63,229.3,372.9,1278.9,28500,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 01:00,modulation,modulating,13.4,99.3,97.7,95.9,0.94,10.68,228.8,370.8,1270.1,28501,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 02:00,modulation,modulating,14.7,98.7,96.3,94.8,0.89,11.05,233.5,374.3,1285.1,28502,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 03:00,modulation,modulating,14.5,100.2,98.1,96.6,0.94,10.88,230.4,374.1,1268.4,28503,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 04:00,modulation,modulating,16.4,98.0,96.0,94.5,0.89,10.64,232.9,374.1,1254.9,28504,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 05:00,modulation,modulating,17.8,99.5,98.0,96.2,0.9,10.72,234.2,367.7,1223.3,28505,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 06:00,modulation,modulating,19.2,98.4,96.5,94.9,0.87,10.78,233.1,369.7,1264.1,28506,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 07:00,modulation,modulating,21.1,100.1,97.9,96.3,0.93,10.52,238.3,372.1,1272.1,28507,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 08:00,modulation,loaded,22.1,96.6,94.8,93.0,1.01,11.44,240.5,398.9,1378.0,28508,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 09:00,modulation,loaded,24.4,96.6,94.8,93.0,0.95,11.62,239.6,393.4,1380.2,28509,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 10:00,modulation,loaded,26.7,95.4,93.1,91.6,1.07,11.73,245.7,403.2,1420.3,28510,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,dryer bypass open
2026-05-08 11:00,modulation,loaded,27.5,95.2,93.6,91.8,1.06,11.62,242.2,402.7,1427.7,28511,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,dryer bypass open
2026-05-08 12:00,modulation,loaded,28.0,93.2,91.4,89.7,1.0,11.79,245.5,410.7,1415.3,28512,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,dryer bypass open
2026-05-08 13:00,modulation,loaded,27.7,93.4,91.5,89.7,0.99,11.89,246.5,410.9,1434.7,28513,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 14:00,modulation,loaded,27.7,93.9,92.1,90.5,0.96,11.79,245.7,404.6,1410.3,28514,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 15:00,modulation,loaded,32.8,116.4,111.8,108.1,1.42,12.6,236.0,421.0,1325.0,28515,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,packaging lines 2 and 5 at high demand
2026-05-08 16:00,modulation,loaded,26.4,95.5,93.3,91.7,0.98,11.75,245.5,407.3,1400.5,28516,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 17:00,modulation,loaded,24.8,96.0,94.5,92.6,1.04,11.57,243.6,397.4,1400.5,28517,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 18:00,modulation,loaded,22.6,96.7,94.8,93.1,1.0,11.39,238.4,395.2,1365.1,28518,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 19:00,modulation,modulating,20.9,100.7,98.8,97.0,0.84,10.69,238.2,369.1,1263.0,28519,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 20:00,modulation,modulating,19.6,98.8,97.3,95.5,0.87,11.05,236.1,377.5,1281.0,28520,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 21:00,modulation,modulating,17.4,99.5,97.5,95.9,0.91,10.59,232.1,372.0,1257.8,28521,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 22:00,modulation,modulating,16.4,99.5,97.3,95.6,0.82,10.92,231.0,377.2,1258.5,28522,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-08 23:00,modulation,modulating,14.3,98.7,97.0,95.3,0.87,10.55,229.3,371.9,1263.4,28523,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 00:00,modulation,modulating,15.0,99.3,97.7,96.0,0.9,10.86,232.1,373.9,1237.4,28524,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 01:00,modulation,modulating,14.7,99.3,97.4,95.9,0.83,10.84,231.5,371.6,1226.8,28525,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 02:00,modulation,modulating,13.7,98.2,96.5,94.8,0.86,10.98,230.2,372.4,1257.0,28526,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 03:00,modulation,modulating,14.8,98.3,96.9,95.0,0.86,10.75,228.8,374.9,1251.7,28527,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 04:00,modulation,modulating,16.4,98.0,96.3,94.5,0.84,10.98,234.6,379.5,1282.3,28528,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 05:00,modulation,modulating,18.1,97.8,95.8,94.2,0.91,11.01,233.6,374.5,1257.0,28529,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 06:00,modulation,modulating,18.5,99.2,97.5,95.8,0.89,10.74,232.2,374.2,1241.5,28530,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 07:00,modulation,modulating,20.9,98.6,96.7,95.1,0.88,10.69,238.1,375.6,1230.3,28531,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 08:00,load/unload,loaded,22.4,96.2,94.0,92.4,0.94,11.47,233.4,400.8,1388.7,28532,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 09:00,load/unload,loaded,23.8,96.6,94.5,92.9,0.96,11.68,231.2,402.8,1359.6,28533,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 10:00,load/unload,loaded,26.2,96.6,94.7,93.1,0.92,11.75,237.4,400.4,1363.1,28534,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 11:00,load/unload,loaded,27.9,97.3,95.1,93.5,1.0,11.29,237.4,395.6,1384.5,28535,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 12:00,load/unload,loaded,28.1,96.3,94.3,92.6,0.94,11.48,235.2,397.5,1368.3,28536,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 13:00,load/unload,loaded,28.1,96.5,94.4,92.7,1.0,11.35,236.7,395.7,1347.2,28537,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 14:00,load/unload,loaded,27.7,95.0,92.9,91.2,1.04,11.86,235.7,400.4,1388.8,28538,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 15:00,load/unload,loaded,27.4,97.1,94.9,93.2,0.94,11.69,238.6,399.5,1388.3,28539,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 16:00,load/unload,loaded,26.1,95.8,94.1,92.3,1.03,11.44,236.8,393.7,1387.8,28540,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 17:00,load/unload,loaded,24.5,96.9,95.0,93.4,0.96,11.43,231.6,398.1,1368.7,28541,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 18:00,load/unload,loaded,23.6,96.1,94.1,92.4,0.94,11.55,231.6,395.1,1396.6,28542,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 19:00,load/unload,modulating,21.7,100.2,98.2,96.5,0.89,10.75,229.5,374.1,1236.9,28543,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 20:00,load/unload,modulating,18.8,100.2,98.4,96.6,0.88,10.54,224.1,376.3,1257.0,28544,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 21:00,load/unload,modulating,17.3,98.1,96.1,94.5,0.9,10.95,226.1,380.0,1262.8,28545,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 22:00,load/unload,modulating,16.3,100.0,98.2,96.5,0.86,10.78,223.2,372.5,1228.8,28546,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-09 23:00,load/unload,modulating,14.7,99.0,97.2,95.4,0.92,10.56,223.2,378.6,1272.1,28547,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-10 00:00,load/unload,modulating,14.8,99.5,98.0,96.1,0.92,10.92,225.4,375.2,1247.6,28548,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-10 01:00,load/unload,modulating,14.3,97.7,95.8,93.9,0.94,10.78,221.6,378.6,1282.2,28549,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-10 02:00,load/unload,modulating,14.7,97.8,95.6,93.9,0.91,10.91,225.2,375.7,1254.6,28550,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-10 03:00,load/unload,modulating,15.0,97.6,95.7,94.1,0.84,10.57,220.8,373.6,1261.0,28551,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-10 04:00,load/unload,modulating,15.3,98.9,97.2,95.3,0.88,10.61,224.9,378.3,1276.0,28552,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
2026-05-10 05:00,load/unload,modulating,17.4,99.2,97.3,95.5,0.84,10.65,223.6,374.8,1233.8,28553,HIGH_DISCHARGE_TEMP;HIGH_SEPARATOR_DP,
